Series;Time;Value
Usable Cores;2018-04-13T02:00:00+02:00;24928.17777777778
Usable Cores;2018-04-13T14:00:00+02:00;26797.48888888889
Usable Cores;2018-04-14T02:00:00+02:00;24859.133333333335
Usable Cores;2018-04-14T14:00:00+02:00;24034.683333333334
Usable Cores;2018-04-15T02:00:00+02:00;23669.708333333332
Usable Cores;2018-04-15T14:00:00+02:00;23641.058333333334
Usable Cores;2018-04-16T02:00:00+02:00;24565.625
Usable Cores;2018-04-16T14:00:00+02:00;26358.844444444443
Usable Cores;2018-04-17T02:00:00+02:00;24936.308333333334
Usable Cores;2018-04-17T14:00:00+02:00;24816.96111111111
Usable Cores;2018-04-18T02:00:00+02:00;24723.619444444445
Usable Cores;2018-04-18T14:00:00+02:00;25280.791666666668
Usable Cores;2018-04-19T02:00:00+02:00;26088.055555555555
Usable Cores;2018-04-19T14:00:00+02:00;28059.133333333335
Usable Cores;2018-04-20T02:00:00+02:00;27524.8
Usable Cores;2018-04-20T14:00:00+02:00;25758.536111111112
Usable Cores;2018-04-21T02:00:00+02:00;24822.21111111111
Usable Cores;2018-04-21T14:00:00+02:00;24377.958333333332
Usable Cores;2018-04-22T02:00:00+02:00;24266.391666666666
Usable Cores;2018-04-22T14:00:00+02:00;24246
Usable Cores;2018-04-23T02:00:00+02:00;25232.419444444444
Usable Cores;2018-04-23T14:00:00+02:00;27029.280555555557
Usable Cores;2018-04-24T02:00:00+02:00;25144.00277777778
Usable Cores;2018-04-24T14:00:00+02:00;24333.49722222222
Usable Cores;2018-04-25T02:00:00+02:00;24080.244444444445
Usable Cores;2018-04-25T14:00:00+02:00;24140.53888888889
Usable Cores;2018-04-26T02:00:00+02:00;25050.455555555556
Usable Cores;2018-04-26T14:00:00+02:00;27883.99722222222
Usable Cores;2018-04-27T02:00:00+02:00;27770.983333333334
Usable Cores;2018-04-27T14:00:00+02:00;27143.36388888889
Usable Cores;2018-04-28T02:00:00+02:00;26796.955555555556
Usable Cores;2018-04-28T14:00:00+02:00;26696.755555555555
Usable Cores;2018-04-29T02:00:00+02:00;26570.858333333334
Usable Cores;2018-04-29T14:00:00+02:00;26497.87222222222
Usable Cores;2018-04-30T02:00:00+02:00;26431.025
Usable Cores;2018-04-30T14:00:00+02:00;26512.719444444443
Usable Cores;2018-05-01T02:00:00+02:00;26490.783333333333
Usable Cores;2018-05-01T14:00:00+02:00;26384.216666666667
Usable Cores;2018-05-02T02:00:00+02:00;26285.241666666665
Usable Cores;2018-05-02T14:00:00+02:00;27044.297222222223
Usable Cores;2018-05-03T02:00:00+02:00;27397.31111111111
Usable Cores;2018-05-03T14:00:00+02:00;27906.866666666665
Usable Cores;2018-05-04T02:00:00+02:00;27645.830555555556
Usable Cores;2018-05-04T14:00:00+02:00;25463.452777777777
Usable Cores;2018-05-05T02:00:00+02:00;24521.925
Usable Cores;2018-05-05T14:00:00+02:00;24321.73611111111
Usable Cores;2018-05-06T02:00:00+02:00;24282.808333333334
Usable Cores;2018-05-06T14:00:00+02:00;24243.047222222223
Usable Cores;2018-05-07T02:00:00+02:00;24212.833333333332
Usable Cores;2018-05-07T14:00:00+02:00;26388.78888888889
Usable Cores;2018-05-08T02:00:00+02:00;26493.455555555556
Usable Cores;2018-05-08T14:00:00+02:00;26687.51111111111
Usable Cores;2018-05-09T02:00:00+02:00;27274.280555555557
Usable Cores;2018-05-09T14:00:00+02:00;27852.98611111111
Usable Cores;2018-05-10T02:00:00+02:00;27771.077777777777
Usable Cores;2018-05-10T14:00:00+02:00;27754.883333333335
Usable Cores;2018-05-11T02:00:00+02:00;27690.233333333334
Usable Cores;2018-05-11T14:00:00+02:00;27630.26388888889
Usable Cores;2018-05-12T02:00:00+02:00;27598.055555555555
Usable Cores;2018-05-12T14:00:00+02:00;27608.577777777777
Usable Cores;2018-05-13T02:00:00+02:00;27562.730555555554
Usable Cores;2018-05-13T14:00:00+02:00;27578.144444444446
Usable Cores;2018-05-14T02:00:00+02:00;27729.444444444445
Usable Cores;2018-05-14T14:00:00+02:00;26543.275
Usable Cores;2018-05-15T02:00:00+02:00;25604.286111111112
Usable Cores;2018-05-15T14:00:00+02:00;22638.741666666665
Usable Cores;2018-05-16T02:00:00+02:00;24518.71111111111
Usable Cores;2018-05-16T14:00:00+02:00;25627.69637883008
Usable Cores;2018-05-17T02:00:00+02:00;26374.73888888889
Usable Cores;2018-05-17T14:00:00+02:00;26692.87777777778
Usable Cores;2018-05-18T02:00:00+02:00;26825.597222222223
Usable Cores;2018-05-18T14:00:00+02:00;28064.98595505618
Usable Cores;2018-05-19T02:00:00+02:00;28050.6
Usable Cores;2018-05-19T14:00:00+02:00;27994.18767507003
Usable Cores;2018-05-20T02:00:00+02:00;27967.61388888889
Usable Cores;2018-05-20T14:00:00+02:00;27965.766666666666
Usable Cores;2018-05-21T02:00:00+02:00;27926.838888888888
Usable Cores;2018-05-21T14:00:00+02:00;27888.969444444443
Usable Cores;2018-05-22T02:00:00+02:00;27988.477777777778
Usable Cores;2018-05-22T14:00:00+02:00;28064.2
Usable Cores;2018-05-23T02:00:00+02:00;28042.186629526463
Usable Cores;2018-05-23T14:00:00+02:00;27733.830555555556
Usable Cores;2018-05-24T02:00:00+02:00;27562.341666666667
Usable Cores;2018-05-24T14:00:00+02:00;27557
Usable Cores;2018-05-25T02:00:00+02:00;27843.51111111111
Usable Cores;2018-05-25T14:00:00+02:00;28114.32590529248
Usable Cores;2018-05-26T02:00:00+02:00;28080.51111111111
Usable Cores;2018-05-26T14:00:00+02:00;28034.955555555556
Usable Cores;2018-05-27T02:00:00+02:00;28013
Usable Cores;2018-05-27T14:00:00+02:00;28008.641666666666
Usable Cores;2018-05-28T02:00:00+02:00;27846.544444444444
Usable Cores;2018-05-28T14:00:00+02:00;25808.9860724234
Usable Cores;2018-05-29T02:00:00+02:00;26592.069444444445
Usable Cores;2018-05-29T14:00:00+02:00;26718.233333333334
